Date,trapVisitID,subSiteName,visitType,trapFunctioning,fishProcessed,sampleStart,sampleEnd,counterAtEnd,rpmRevolutionsAtStart,rpmRevolutionsAtEnd,ConeDebrisIntake1,ConeDebrisIntake2,debrisVolume,debrisType,includeCatch,includeCatchComments,TrapVisit.comments
2017/02/17 00:00:00,8335,ST004L1,Continue trapping,"Trap functioning, but not normally",Processed fish,2017/02/16 09:12:00,2017/02/17 09:21:00,NA,0,0.5,NA,NA,6,Terrestrial,No,Trap stopped or not functioning normally: imputed catch greater than actual catch.,Intake debris 0/0. Cone not spinning due to low flows. All debris was found inside the cone; livewell was empty of debris.
2017/02/18 00:00:00,8343,ST004L1,Continue trapping,Trap functioning normally,Processed fish,2017/02/17 09:21:00,2017/02/18 09:22:00,520,0.8,1.1,NA,NA,10,Terrestrial,Yes,NA,Intake debris 0/0.
2017/02/19 00:00:00,8345,ST004L1,Unplanned restart,Trap stopped functioning,Processed fish,2017/02/18 09:22:00,2017/02/19 10:08:00,844,0,1.3,NA,NA,30,Terrestrial,No,Trap stopped or not functioning normally: imputed catch greater than actual catch.,Intake debris 3/3.
2017/02/20 00:00:00,8346,ST004L1,Continue trapping,Trap functioning normally,Processed fish,2017/02/19 10:08:00,2017/02/20 09:27:00,1962,1.5,1.5,NA,NA,14,Terrestrial,Yes,NA,Intake debris 0/0.
2017/02/21 00:00:00,8347,ST004L1,End trapping,Trap stopped functioning,Processed fish,2017/02/20 09:27:00,2017/02/21 09:53:00,NA,0,2,NA,NA,31,Terrestrial,Yes,Data included in analysis because calculations based on clicker total and after cleaning RPMs suggest trap was functioning normally for at least 70% of the sampling period.,Intake debris 0/1. Cones raised due to heavy debris volume.
2017/02/21 00:00:00,8348,ST004L1,Start trap & begin trapping,Trap functioning normally,N/A; not a sampling visit,NA,2017/02/21 20:55:00,NA,NA,3,NA,NA,NA,NA,Yes,NA,NA
2017/02/22 00:00:00,8349,ST004L1,Unplanned restart,Trap stopped functioning,Processed fish,2017/02/21 20:55:00,2017/02/22 10:18:00,NA,0,2.4,NA,NA,40,Terrestrial,Yes,Data included in analysis because actual catch greater than imputed catch.,Intake debris 3/3. Trap stopped due to log. Clicker not functioning.
2017/02/23 00:00:00,8360,ST004L1,Continue trapping,Trap functioning normally,Processed fish,2017/02/22 10:18:00,2017/02/23 11:03:00,3146,1.6,1.5,NA,NA,7,Terrestrial,Yes,NA,Intake debris 0/0.
2017/02/24 00:00:00,8361,ST004L1,Continue trapping,Trap functioning normally,Processed fish,2017/02/23 11:03:00,2017/02/24 09:55:00,2469,1.9,1.6,NA,NA,1,Terrestrial,Yes,NA,Intake debris 0/0.
2017/02/25 00:00:00,8362,ST004L1,Continue trapping,Trap functioning normally,Processed fish,2017/02/24 09:55:00,2017/02/25 09:50:00,2401,1.6,1.5,NA,NA,11,Terrestrial,Yes,NA,Intake debris 0/0.
2017/02/26 00:00:00,8363,ST004L1,Unplanned restart,Trap stopped functioning,Processed fish,2017/02/25 09:50:00,2017/02/26 08:59:00,1274,0,1,NA,NA,6,Terrestrial,Yes,Data included in analysis because calculations based on clicker total and after cleaning RPMs suggest trap was functioning normally for at least 70% of the sampling period.,Intake debris 0/0.
2017/02/27 00:00:00,8364,ST004L1,Unplanned restart,Trap stopped functioning,Processed fish,2017/02/26 08:59:00,2017/02/27 09:03:00,NA,0,1.1,NA,NA,NA,Terrestrial,Yes,Data included in analysis because calculations based on clicker total and after cleaning RPMs suggest trap was functioning normally for at least 70% of the sampling period.,Intake debris 0/1. Debris volume not recorded. Trap stopped on arrival due to log in cone.
2017/02/28 00:00:00,8365,ST004L1,Unplanned restart,Trap stopped functioning,Processed fish,2017/02/27 09:03:00,2017/02/28 09:50:00,NA,0,0.4,NA,NA,5,Terrestrial,Yes,Data included in analysis because calculations based on clicker total and after cleaning RPMs suggest trap was functioning normally for at least 70% of the sampling period.,Intake debris 0/0.
2017/03/01 00:00:00,8366,ST004L1,Continue trapping,Trap functioning normally,Processed fish,2017/02/28 09:50:00,2017/03/01 09:38:00,615,0.9,0.8,NA,NA,5,Terrestrial,Yes,NA,Intake debris 0/0.
2017/03/02 00:00:00,8367,ST004L1,Continue trapping,Trap functioning normally,Processed fish,2017/03/01 09:38:00,2017/03/02 09:10:00,952,0.8,0.9,NA,NA,3,Terrestrial,Yes,NA,Intake debris 0/0.
2017/03/03 00:00:00,8368,ST004L1,Continue trapping,Trap functioning normally,Processed fish,2017/03/02 09:10:00,2017/03/03 09:10:00,1091,0.9,0.7,NA,NA,3,Terrestrial,Yes,NA,Intake debris 0/0.
2017/03/04 00:00:00,8369,ST004L1,Continue trapping,Trap functioning normally,Processed fish,2017/03/03 09:10:00,2017/03/04 09:36:00,1149,0.8,0.8,NA,NA,3,Terrestrial,Yes,NA,Intake debris 0/0.
2017/03/05 00:00:00,8370,ST004L1,Continue trapping,Trap functioning normally,Processed fish,2017/03/04 09:36:00,2017/03/05 09:15:00,1296,1,1,NA,NA,2,Terrestrial,Yes,NA,Intake debris 0/0.
2017/03/06 00:00:00,8371,ST004L1,Unplanned restart,Trap stopped functioning,Processed fish,2017/03/05 09:15:00,2017/03/06 09:34:00,829,0,1,NA,NA,8,Terrestrial,No,Trap stopped or not functioning normally: imputed catch greater than actual catch.,Intake debris 1/0. Cone stopped due to log in intake.
2017/03/07 00:00:00,8372,ST004L1,Continue trapping,Trap functioning normally,Processed fish,2017/03/06 09:34:00,2017/03/07 09:22:00,1417,0.8,0.8,NA,NA,7,Terrestrial,Yes,NA,Intake debris 0/0.
2017/03/08 00:00:00,8373,ST004L1,Continue trapping,Trap functioning normally,Processed fish,2017/03/07 09:22:00,2017/03/08 09:29:00,1524,0.9,0.8,NA,NA,5,Terrestrial,Yes,NA,Intake debris 0/0.
2017/03/09 00:00:00,8374,ST004L1,Continue trapping,Trap functioning normally,Processed fish,2017/03/08 09:29:00,2017/03/09 10:12:00,1368,0.7,0.9,NA,NA,2,Terrestrial,Yes,NA,Intake debris 0/0.
2017/03/10 00:00:00,8375,ST004L1,Continue trapping,Trap functioning normally,Processed fish,2017/03/09 10:12:00,2017/03/10 09:30:00,1286,0.7,0.6,NA,NA,3,Terrestrial,Yes,NA,Intake debris 0/0.
2017/03/11 00:00:00,8376,ST004L1,Continue trapping,Trap functioning normally,Processed fish,2017/03/10 09:30:00,2017/03/11 09:08:00,1266,0.8,0.6,NA,NA,3,Terrestrial,Yes,NA,Intake debris 0/0.
2017/03/12 00:00:00,8377,ST004L1,Continue trapping,Trap functioning normally,Processed fish,2017/03/11 09:08:00,2017/03/12 08:53:00,1266,1,1.1,NA,NA,3,Terrestrial,Yes,NA,Intake debris 0/0.
2017/03/13 00:00:00,8378,ST004L1,Unplanned restart,Trap stopped functioning,Processed fish,2017/03/12 08:53:00,2017/03/13 10:31:00,335,0,2.2,NA,NA,12,Terrestrial,No,Trap stopped or not functioning normally: imputed catch greater than actual catch.,"Intake debris 0/0. Heavy debris piled in front of cone, stopped by logs."
2017/03/14 00:00:00,8379,ST004L1,Unplanned restart,Trap stopped functioning,Processed fish,2017/03/13 10:31:00,2017/03/14 09:59:00,2214,0,2.5,NA,NA,24,Terrestrial,Yes,Data included in analysis because actual catch greater than imputed catch.,Intake debris 2/2.
2017/03/15 00:00:00,8380,ST004L1,Unplanned restart,Trap stopped functioning,Processed fish,2017/03/14 09:59:00,2017/03/15 10:03:00,2300,0,2.6,NA,NA,28,Terrestrial,Yes,Data included in analysis because actual catch greater than imputed catch.,Intake debris 2/0.
2017/03/16 00:00:00,8381,ST004L1,Continue trapping,Trap functioning normally,Processed fish,2017/03/15 10:03:00,2017/03/16 10:03:00,3524,2.5,2.5,NA,NA,47,Not recorded.,Yes,NA,Intake debris 0/0.
2017/03/17 00:00:00,8382,ST004L1,Unplanned restart,Trap stopped functioning,Processed fish,2017/03/16 10:03:00,2017/03/17 09:24:00,597,0,2.5,NA,NA,23,Terrestrial,No,Trap stopped or not functioning normally: imputed catch greater than actual catch.,Intake debris 0/1.
2017/03/18 00:00:00,8383,ST004L1,Unplanned restart,Trap stopped functioning,Processed fish,2017/03/17 09:24:00,2017/03/18 09:25:00,867,0,2.6,NA,NA,12,Terrestrial,No,Trap stopped or not functioning normally: imputed catch greater than actual catch.,Intake debris 1/2.
2017/03/19 00:00:00,8384,ST004L1,Continue trapping,Trap functioning normally,Processed fish,2017/03/18 09:25:00,2017/03/19 09:45:00,3541,2.4,2.6,NA,NA,18,Terrestrial,Yes,NA,Intake debris 0/1.
2017/03/20 00:00:00,8385,ST004L1,Unplanned restart,Trap stopped functioning,Processed fish,2017/03/19 09:45:00,2017/03/20 10:12:00,118,0,2.1,NA,NA,2,Terrestrial,No,Trap stopped or not functioning normally: imputed catch greater than actual catch.,Intake debris 0/0. Trap stopped due to logs.
2017/03/21 00:00:00,8386,ST004L1,Unplanned restart,Trap stopped functioning,Processed fish,2017/03/20 10:12:00,2017/03/21 10:23:00,2169,0,2.5,NA,NA,26,Terrestrial,No,Trap stopped or not functioning normally: imputed catch greater than actual catch.,Intake debris 1/3. Trap stopped upon arrival.
2017/03/22 00:00:00,8387,ST004L1,Continue trapping,Trap functioning normally,Processed fish,2017/03/21 10:23:00,2017/03/22 10:53:00,NA,2.2,2.4,NA,NA,37,Terrestrial,Yes,NA,Intake debris 1/0. Clicker total recorded as 333803; likely incorrect.
2017/03/23 00:00:00,8433,ST004L1,Unplanned restart,Trap stopped functioning,Processed fish,2017/03/22 10:53:00,2017/03/23 09:46:00,448,0,2.5,NA,NA,27,Terrestrial,No,Trap stopped or not functioning normally: imputed catch greater than actual catch.,Intake debris 3/0.
2017/03/24 00:00:00,8434,ST004L1,Unplanned restart,Trap stopped functioning,Processed fish,2017/03/23 09:46:00,2017/03/24 09:50:00,1721,0,3,NA,NA,26,Terrestrial,No,Trap stopped or not functioning normally: imputed catch greater than actual catch.,Intake debris 3/0.
2017/03/25 00:00:00,8435,ST004L1,Unplanned restart,Trap stopped functioning,Processed fish,2017/03/24 09:50:00,2017/03/25 10:32:00,1932,0,3.1,NA,NA,65,Terrestrial,No,Trap stopped or not functioning normally: imputed catch greater than actual catch.,Intake debris 3/3.
2017/03/26 00:00:00,8436,ST004L1,Unplanned restart,Trap stopped functioning,Processed fish,2017/03/25 10:32:00,2017/03/26 09:56:00,493,0,2.9,NA,NA,34,Terrestrial,No,Trap stopped or not functioning normally: imputed catch greater than actual catch.,"Intake debris 3/0. Trap stopped because of logs, tons of debris in cone."
2017/03/27 00:00:00,8437,ST004L1,Unplanned restart,Trap stopped functioning,Processed fish,2017/03/26 09:56:00,2017/03/27 09:28:00,2500,0,3,NA,NA,27,Terrestrial,No,Trap stopped or not functioning normally: imputed catch greater than actual catch.,"Intake debris 0/0. Stick stopped trap, logs in trap."
2017/03/28 00:00:00,8438,ST004L1,Unplanned restart,Trap stopped functioning,Processed fish,2017/03/27 09:28:00,2017/03/28 10:33:00,3555,0,2.9,NA,NA,63,NA,Yes,Data included in analysis because calculations based on clicker total and after cleaning RPMs suggest trap was functioning normally for at least 70% of the sampling period.,"Intake debris 0/3. Dominant debris type not recorded. Trap stopped by branch, large log inside."
2017/03/29 00:00:00,8439,ST004L1,Continue trapping,Trap functioning normally,Processed fish,2017/03/28 10:33:00,2017/03/29 09:47:00,3776,2.5,2.9,NA,NA,36,Terrestrial,Yes,NA,Intake debris 0/0.
2017/03/30 00:00:00,8440,ST004L1,Continue trapping,Trap functioning normally,Processed fish,2017/03/29 09:47:00,2017/03/30 09:53:00,3902,2.3,2.5,NA,NA,33,Terrestrial,Yes,NA,Intake debris 3/1.
2017/03/31 00:00:00,8441,ST004L1,Continue trapping,"Trap functioning, but not normally",Processed fish,2017/03/30 09:53:00,2017/03/31 10:41:00,2447,2.3,2.7,NA,NA,147,Terrestrial,No,Trap stopped or not functioning normally: imputed catch greater than actual catch.,Intake debris 3/0. One of the doors on the trap was unlatched and open.
2017/04/01 00:00:00,8442,ST004L1,End trapping,Trap stopped functioning,Processed fish,2017/03/31 10:41:00,2017/04/01 09:00:00,1279,0,NA,NA,NA,22,Terrestrial,No,Trap stopped or not functioning normally: imputed catch greater than actual catch.,Intake debris 1/3.
2017/04/03 00:00:00,8443,ST004L1,Start trap & begin trapping,Trap functioning normally,N/A; not a sampling visit,NA,2017/04/03 15:29:00,NA,NA,3.1,NA,NA,NA,NA,Yes,NA,NA
2017/04/04 00:00:00,8444,ST004L1,Continue trapping,Trap functioning normally,Processed fish,2017/04/03 15:29:00,2017/04/04 10:16:00,3661,2.6,3.3,NA,NA,36,Terrestrial,Yes,NA,Intake debris 0/0. Heavy log in trap.
2017/04/05 00:00:00,8445,ST004L1,Unplanned restart,Trap stopped functioning,Processed fish,2017/04/04 10:16:00,2017/04/05 09:49:00,2117,0,3.1,NA,NA,16,Terrestrial,No,Trap stopped or not functioning normally: imputed catch greater than actual catch.,Intake debris 1/1.
2017/04/06 00:00:00,8446,ST004L1,Unplanned restart,Trap stopped functioning,Processed fish,2017/04/05 09:49:00,2017/04/06 09:31:00,703,0,3.3,NA,NA,23,Terrestrial,No,Trap stopped or not functioning normally: imputed catch greater than actual catch.,Intake debris 3/0. Stopped by log.
2017/04/07 00:00:00,8447,ST004L1,Unplanned restart,Trap stopped functioning,Processed fish,2017/04/06 09:31:00,2017/04/07 10:40:00,2628,0,3.1,NA,NA,64,Terrestrial,No,Trap stopped or not functioning normally: imputed catch greater than actual catch.,Intake debris 3/3.
2017/04/08 00:00:00,8448,ST004L1,End trapping,Trap stopped functioning,Processed fish,2017/04/07 10:40:00,2017/04/08 10:08:00,2142,0,NA,NA,NA,74,Terrestrial,No,Trap stopped or not functioning normally: imputed catch greater than actual catch.,Intake debris 3/0.
2017/04/10 00:00:00,8449,ST004L1,Start trap & begin trapping,Trap functioning normally,N/A; not a sampling visit,NA,2017/04/10 12:25:00,NA,NA,3.4,NA,NA,NA,NA,Yes,NA,NA
2017/04/11 00:00:00,8450,ST004L1,Unplanned restart,Trap stopped functioning,Processed fish,2017/04/10 12:25:00,2017/04/11 09:30:00,2856,0,3.4,NA,NA,23,Terrestrial,Yes,Data included in analysis because calculations based on clicker total and after cleaning RPMs suggest trap was functioning normally for at least 70% of the sampling period.,Intake debris 0/1.
2017/04/12 00:00:00,8451,ST004L1,Unplanned restart,Trap stopped functioning,Processed fish,2017/04/11 09:30:00,2017/04/12 09:30:00,3626,0,3.7,NA,NA,25,Terrestrial,Yes,Data included in analysis because calculations based on clicker total and after cleaning RPMs suggest trap was functioning normally for at least 70% of the sampling period.,Intake debris 1/0.
2017/04/13 00:00:00,8452,ST004L1,Unplanned restart,Trap stopped functioning,No fish were caught,2017/04/12 09:30:00,2017/04/13 09:36:00,2232,0,3.5,NA,NA,30,Terrestrial,No,Trap stopped or not functioning normally: imputed catch greater than actual catch.,Intake debris 1/1.
2017/04/14 00:00:00,8453,ST004L1,Unplanned restart,Trap stopped functioning,No fish were caught,2017/04/13 09:36:00,2017/04/14 09:23:00,1132,0,3.5,NA,NA,25,Terrestrial,No,Trap stopped or not functioning normally: imputed catch greater than actual catch.,Intake debris 0/1. Log stopped trap.
2017/04/15 00:00:00,8454,ST004L1,End trapping,Trap stopped functioning,Processed fish,2017/04/14 09:23:00,2017/04/15 09:09:00,339,0,NA,NA,NA,17,Terrestrial,No,Trap stopped or not functioning normally: imputed catch greater than actual catch.,Intake debris 0/3.
2017/04/17 00:00:00,8455,ST004L1,Start trap & begin trapping,Trap functioning normally,N/A; not a sampling visit,NA,2017/04/17 17:00:00,NA,NA,2.4,NA,NA,NA,NA,Yes,NA,NA
2017/04/18 00:00:00,8456,ST004L1,Continue trapping,Trap functioning normally,Processed fish,2017/04/17 17:00:00,2017/04/18 09:28:00,1229,3.3,3.6,NA,NA,20,Terrestrial,Yes,NA,Intake debris 0/0.
2017/04/19 00:00:00,8457,ST004L1,Unplanned restart,Trap stopped functioning,Processed fish,2017/04/18 09:28:00,2017/04/19 10:39:00,195,0,2.4,NA,NA,52,Terrestrial,No,Trap stopped or not functioning normally: imputed catch greater than actual catch.,Intake debris 3/0. Clicker not functioning; started rotating at 9:30am.
2017/04/20 00:00:00,8458,ST004L1,Continue trapping,Trap functioning normally,Processed fish,2017/04/19 10:39:00,2017/04/20 09:16:00,4095,3,2.6,NA,NA,13,Terrestrial,Yes,NA,Intake debris 0/0.
2017/04/21 00:00:00,8459,ST004L1,Continue trapping,Trap functioning normally,Processed fish,2017/04/20 09:16:00,2017/04/21 09:42:00,4862,2.8,3.3,NA,NA,35,Terrestrial,Yes,NA,Intake debris 0/0. Debris removed from cone through side door.
2017/04/22 00:00:00,8460,ST004L1,End trapping,Trap stopped functioning,Processed fish,2017/04/21 09:42:00,2017/04/22 09:10:00,NA,0,NA,NA,NA,20,Terrestrial,No,Trap stopped or not functioning normally: imputed catch greater than actual catch.,Intake debris 3/1. Debris volume estimated. Traps worked up at shore.
2017/04/24 00:00:00,8461,ST004L1,Start trap & begin trapping,Trap functioning normally,N/A; not a sampling visit,NA,2017/04/24 09:15:00,NA,NA,2.6,NA,NA,NA,NA,Yes,NA,NA
2017/04/25 00:00:00,8462,ST004L1,Unplanned restart,Trap stopped functioning,No fish were caught,2017/04/24 09:15:00,2017/04/25 10:11:00,1232,0,3.6,NA,NA,25,Terrestrial,No,Trap stopped or not functioning normally: imputed catch greater than actual catch.,Intake debris 1/3. Three large logs caught on front of trap.
2017/04/26 00:00:00,8463,ST004L1,Continue trapping,Trap functioning normally,Processed fish,2017/04/25 10:11:00,2017/04/26 10:27:00,5299,3.9,3.8,NA,NA,31,Terrestrial,Yes,NA,Intake debris 0/0.
2017/04/27 00:00:00,8464,ST004L1,End trapping,Trap functioning normally,Processed fish,2017/04/26 10:27:00,2017/04/27 09:31:00,5078,3.7,NA,NA,NA,27,Terrestrial,Yes,NA,Intake debris 0/0. Log came into cone while taking before cleaning RPMs (at 8:36am.)
2017/05/01 00:00:00,8465,ST004L1,Start trap & begin trapping,Trap functioning normally,N/A; not a sampling visit,NA,2017/05/01 17:55:00,NA,NA,4.6,NA,NA,NA,NA,Yes,NA,NA
2017/05/02 00:00:00,8466,ST004L1,Continue trapping,Trap functioning normally,Processed fish,2017/05/01 17:55:00,2017/05/02 10:22:00,4472,4.6,4.9,NA,NA,15,Terrestrial,Yes,NA,Intake debris 0/0.
2017/05/03 00:00:00,8467,ST004L1,Continue trapping,Trap functioning normally,Processed fish,2017/05/02 10:22:00,2017/05/03 10:22:00,6197,4.4,5,NA,NA,22,Terrestrial,Yes,NA,Intake debris 0/1.
2017/05/04 00:00:00,8468,ST004L1,Unplanned restart,Trap stopped functioning,Processed fish,2017/05/03 10:22:00,2017/05/04 09:32:00,3213,0,4.8,NA,NA,14,Terrestrial/Aquatic,No,Trap stopped or not functioning normally: imputed catch greater than actual catch.,Intake debris 0/1.
2017/05/05 00:00:00,8469,ST004L1,Continue trapping,Trap functioning normally,Processed fish,2017/05/04 09:32:00,2017/05/05 10:18:00,7095,4.9,4.9,NA,NA,26,Terrestrial,Yes,NA,Intake debris 0/1. Clicker recorded as 10308: likely not reset from day before. Previous day's rotation counter of 3213 subtracted = 7095.
2017/05/06 00:00:00,8470,ST004L1,End trapping,Trap functioning normally,Processed fish,2017/05/05 10:18:00,2017/05/06 10:30:00,6831,4.6,NA,NA,NA,32,Terrestrial,Yes,NA,Intake debris 0/0.
2017/05/08 00:00:00,8471,ST004L1,Start trap & begin trapping,Trap functioning normally,N/A; not a sampling visit,NA,2017/05/08 09:55:00,NA,NA,4.6,NA,NA,NA,NA,Yes,NA,NA
2017/05/09 00:00:00,8472,ST004L1,Continue trapping,Trap functioning normally,Processed fish,2017/05/08 09:55:00,2017/05/09 09:36:00,6439,4.7,4.7,NA,NA,8,Terrestrial,Yes,NA,Intake debris 0/0.
2017/05/10 00:00:00,8473,ST004L1,Continue trapping,Trap functioning normally,Processed fish,2017/05/09 09:36:00,2017/05/10 09:20:00,6526,4.4,4.5,NA,NA,7,Terrestrial,Yes,NA,Intake debris 0/0.
2017/05/11 00:00:00,8474,ST004L1,Continue trapping,Trap functioning normally,Processed fish,2017/05/10 09:20:00,2017/05/11 10:04:00,7000,4.9,5,NA,NA,14,Terrestrial,Yes,NA,Intake debris 0/1.
2017/05/12 00:00:00,8475,ST004L1,Continue trapping,Trap functioning normally,Processed fish,2017/05/11 10:04:00,2017/05/12 09:39:00,6764,4.4,4.7,NA,NA,33,Terrestrial,Yes,NA,Intake debris 0/0.
2017/05/13 00:00:00,8476,ST004L1,End trapping,Trap functioning normally,Processed fish,2017/05/12 09:39:00,2017/05/13 09:41:00,6829,4.7,NA,NA,NA,20,Terrestrial,Yes,NA,Intake debris 0/0.
2017/05/15 00:00:00,8529,ST004L1,Start trap & begin trapping,Trap functioning normally,N/A; not a sampling visit,NA,2017/05/15 14:28:00,NA,NA,4.7,NA,NA,NA,NA,Yes,NA,NA
2017/05/16 00:00:00,8530,ST004L1,Continue trapping,Trap functioning normally,Processed fish,2017/05/15 14:28:00,2017/05/16 09:54:00,5416,5.1,4.6,NA,NA,9,Terrestrial,Yes,NA,Intake debris 0/0.
2017/05/17 00:00:00,8531,ST004L1,Continue trapping,Trap functioning normally,Processed fish,2017/05/16 09:54:00,2017/05/17 09:47:00,NA,4.7,5.3,NA,NA,10,Terrestrial,Yes,NA,Intake debris 0/0. Clicker not recorded: may have been mistakenly recorded on Trap 1 datasheet.  Clicker recorded as 3658 on Trap 1.
2017/05/18 00:00:00,8532,ST004L1,Continue trapping,Trap functioning normally,No fish were caught,2017/05/17 09:47:00,2017/05/18 10:26:00,6634,4.8,4.6,NA,NA,12,Terrestrial,Yes,NA,Intake debris 0/0.
2017/05/19 00:00:00,8533,ST004L1,Continue trapping,Trap functioning normally,No fish were caught,2017/05/18 10:26:00,2017/05/19 09:55:00,6445,4.4,4.7,NA,NA,9,Terrestrial,Yes,NA,Intake debris 0/0.
2017/05/20 00:00:00,8534,ST004L1,End trapping,Trap functioning normally,Processed fish,2017/05/19 09:55:00,2017/05/20 09:20:00,6413,4.5,NA,NA,NA,9,Terrestrial/Aquatic,Yes,NA,Intake debris 0/0.
2017/05/22 00:00:00,8535,ST004L1,Start trap & begin trapping,Trap functioning normally,N/A; not a sampling visit,NA,2017/05/22 08:35:00,NA,NA,4.8,NA,NA,NA,NA,Yes,NA,NA
2017/05/23 00:00:00,8536,ST004L1,Continue trapping,Trap functioning normally,No fish were caught,2017/05/22 08:35:00,2017/05/23 09:15:00,9553,4.7,4.4,NA,NA,7,Terrestrial,Yes,NA,Intake debris 0/0.
2017/05/24 00:00:00,8537,ST004L1,Continue trapping,Trap functioning normally,Processed fish,2017/05/23 09:15:00,2017/05/24 10:20:00,6592,4,3.5,NA,NA,11,Terrestrial,Yes,NA,Intake debris 0/0.
2017/05/25 00:00:00,8538,ST004L1,Continue trapping,Trap functioning normally,No fish were caught,2017/05/24 10:20:00,2017/05/25 08:56:00,5907,3.6,4.3,NA,NA,7,Terrestrial,Yes,NA,Intake debris 0/0.
2017/05/26 00:00:00,8539,ST004L1,Continue trapping,Trap functioning normally,No fish were caught,2017/05/25 08:56:00,2017/05/26 09:15:00,6212,4.1,4.5,NA,NA,7,Terrestrial,Yes,NA,Intake debris 0/0.
